course_id	course_title	price	free_or_paid	num_subscribers	num_reviews	num_lectures	level	Rating	content_duration	published_timestamp_date
574974	The Complete Piano Course - Master The Piano	95	paid	4982	276	240	All Levels	0.14	23	8/20/2015
1105794	Piano Music Theory (Back To Basics) by JFilt	0	free	4967	308	12	Beginner Level	0.14	0.5	2/13/2017
1229488	Learn to play your favorite guitar songs by ear	50	paid	4733	11	15	Beginner Level	0.14	1.5	5/27/2017
566678	Learn 4 Chords and Play Thousands of Songs!	20	paid	4560	177	22	All Levels	0.14	1.5	8/17/2015
501412	Play Piano by Ear Today! SuperCourse	60	paid	4557	21	77	All Levels	0.14	5.5	1/5/2016
696630	7 Ways A Beginner Guitarist Can Sound Better, Instantly!	0	free	4529	193	7	All Levels	0.14	0.6	12/21/2015
286070	5 lecciones que todo guitarrista debe tomar	0	free	4452	263	14	All Levels	0.14	1	8/23/2014
681692	Guitar Super System Level 2	50	paid	4192	128	34	All Levels	0.14	1.5	11/30/2015
206088	Guitar Chord Mastery!Turn Your Brain Into A Chord Encyclopia	200	paid	4133	173	224	All Levels	0.14	28.5	5/19/2014
687248	3 step formula for playing guitar by ear	25	paid	3937	54	20	Beginner Level	0.14	1.5	12/3/2015
955914	A beginner`s guide to fingerpicking and strumming guitar'	0	free	3481	29	20	All Levels	0.14	2	9/13/2016
658276	Piano for Singer/Songwriters | Write Songs and Perform Live!	100	paid	3371	175	42	Beginner Level	0.14	3	11/12/2015
762374	Guitar Lessons - String Bending And Vibrato Essentials	0	free	3325	28	5	All Levels	0.14	1	2/15/2016
648506	Blues Guitar Fundamentals	50	paid	3312	107	21	Beginner Level	0.14	1.5	6/27/2016
666322	Learn to Play Piano From a Concert Pianist - For Beginners	200	paid	3206	18	17	Intermediate Level	0.11	1	11/22/2015
198660	Tenor Banjo for Absolute Beginners	0	free	3167	161	34	Beginner Level	0.11	0.616666667	7/19/2014
385684	Guitar Kick Start	0	free	3160	47	22	All Levels	0.11	1	3/19/2015
1029440	Modern Rock Guitar Techniques	50	paid	3157	375	32	Beginner Level	0.11	3	12/8/2016
1098994	Fun Ukulele Strumming Course	45	paid	3141	10	15	Beginner Level	0.11	1	2/2/2017
288942	#1 Piano Hand Coordination: Play 10th Ballad in Eb Key songs	35	paid	3137	18	68	Beginner Level	0.11	1.5	9/18/2014
105350	Play Piano Today - Easy Festive Favorites & Piano Party Hits	75	paid	3122	6	80	Beginner Level	0.11	4	10/27/2013
1034414	Fingerstyle Guitar Mastery: 3 Techniques You Need To Know	0	free	3042	40	13	All Levels	0.11	0.566666667	12/13/2016
476324	Guitar - Learn 10 Legendary Chord Progressions for Guitar	55	paid	3013	15	28	All Levels	0.11	1.5	6/14/2015
521440	The Essentials of Acoustic Guitar Strumming Patterns	0	free	2995	51	19	Beginner Level	0.11	1	7/1/2015
476988	Guitar - Blues Guitar for Beginners	45	paid	2795	26	25	All Levels	0.11	1	5/22/2015
521072	Keyboard Instruments - Read Sheet Music for Piano Fast!	50	paid	2788	52	41	Expert Level	0.11	1.5	7/1/2015
983418	The Allman Brothers Guitar Roots And Techniques	75	paid	2692	29	14	Beginner Level	0.11	1.5	10/29/2016
749686	How to Play the Guitar: Your 30-Day Guide to Learn Guitar	20	paid	2686	10	32	Beginner Level	0.11	6	2/2/2016
20387	Guitar Insanity Workout - Eatmystrings!	50	paid	2673	17	29	Beginner Level	0.11	2.5	7/6/2012
806638	Blues Master - Beginner's Techniques Piano Course	0	free	2618	41	16	Beginner Level	0.11	1.5	3/29/2016
807934	The 80/20 Guitar: Write Music and Play Guitar in 30 Days	0	free	2610	28	24	Beginner Level	0.11	3.5	4/20/2016
288854	Beginner's Guitar: Tuning, Strumming, and Chords!	0	free	2577	30	6	All Levels	0.11	0.616666667	7/3/2015
873386	Guitar Lessons: The Essential Beginner & Intermediate Course	0	free	2566	39	23	All Levels	0.11	2	6/10/2016
970880	Blues Guitar Lessons for Beginners: Chords, Rhythm and Lead	95	paid	2558	19	16	All Levels	0.11	3	10/19/2016
